"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 15 02:02:37 GMT 2023","Fri Dec 15 02:02:54 GMT 2023","17154","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Stream Chat",""
"failed","Fri Dec 15 01:58:49 GMT 2023","Fri Dec 15 02:01:10 GMT 2023","141706","chromium","strem_test.spec.ts","UI Stream Tests With Two Users","","","Send Gift in Stream",""
"passed","Fri Dec 15 01:59:55 GMT 2023","Fri Dec 15 02:00:34 GMT 2023","39178","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Redeem Cash",""
"passed","Fri Dec 15 01:53:42 GMT 2023","Fri Dec 15 01:54:30 GMT 2023","47994","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Unblock Chat",""
"passed","Fri Dec 15 02:02:17 GMT 2023","Fri Dec 15 02:02:37 GMT 2023","20057","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Stream Titile",""
"passed","Fri Dec 15 01:53:47 GMT 2023","Fri Dec 15 01:54:40 GMT 2023","53559","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Buy Coins",""
"passed","Fri Dec 15 01:53:46 GMT 2023","Fri Dec 15 01:54:39 GMT 2023","53051","chromium","ui_chats_test.spec.ts","UI - Chat Tests","","","Chats - Unblock Chat",""
"passed","Fri Dec 15 01:58:19 GMT 2023","Fri Dec 15 01:59:13 GMT 2023","54431","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Gift In Chat",""
"passed","Fri Dec 15 01:52:47 GMT 2023","Fri Dec 15 01:53:42 GMT 2023","54681","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Search by name",""
"passed","Fri Dec 15 01:56:05 GMT 2023","Fri Dec 15 01:56:58 GMT 2023","53006","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Media File",""
"passed","Fri Dec 15 01:55:24 GMT 2023","Fri Dec 15 01:56:05 GMT 2023","40446","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Message Validation",""
"failed","Fri Dec 15 02:00:48 GMT 2023","Fri Dec 15 02:02:03 GMT 2023","74209","chromium","ui_tests.spec.ts","UI Tests","","","Star sand Join Stream",""
"passed","Fri Dec 15 01:56:58 GMT 2023","Fri Dec 15 01:58:19 GMT 2023","81046","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Emoji",""
"broken","Fri Dec 15 01:58:31 GMT 2023","Fri Dec 15 02:01:52 GMT 2023","201257","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Forbidden Name",""
"passed","Fri Dec 15 01:58:29 GMT 2023","Fri Dec 15 01:59:23 GMT 2023","54505","chromium","preStream_tests.spec.ts","UI Stream Tests With Two Users","","","Pre Stream - Disable Camera",""
"failed","Fri Dec 15 01:58:25 GMT 2023","Fri Dec 15 01:59:48 GMT 2023","82604","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile",""
"passed","Fri Dec 15 01:52:47 GMT 2023","Fri Dec 15 01:53:46 GMT 2023","59104","chromium","ui_chats_test.spec.ts","UI - Chat Tests","","","Chats - Default System Messge",""
"passed","Fri Dec 15 01:54:40 GMT 2023","Fri Dec 15 01:55:23 GMT 2023","42493","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Start Stream",""
"passed","Fri Dec 15 01:54:39 GMT 2023","Fri Dec 15 01:55:24 GMT 2023","45170","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Unblock Chat By Followings",""
"passed","Fri Dec 15 01:52:48 GMT 2023","Fri Dec 15 01:53:47 GMT 2023","59252","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - My Info",""
"failed","Fri Dec 15 02:02:18 GMT 2023","Fri Dec 15 02:02:58 GMT 2023","40229","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile e2e",""
"passed","Fri Dec 15 02:01:56 GMT 2023","Fri Dec 15 02:02:17 GMT 2023","21072","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Forbidden Words in Chat",""
"passed","Fri Dec 15 01:59:23 GMT 2023","Fri Dec 15 02:00:10 GMT 2023","46393","chromium","preStream_tests.spec.ts","UI Stream Tests With Two Users","","","Pre Stream - Close Pre Stream",""
"passed","Fri Dec 15 01:54:30 GMT 2023","Fri Dec 15 01:55:20 GMT 2023","49523","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Send Gift From Profile",""
"passed","Fri Dec 15 01:52:47 GMT 2023","Fri Dec 15 01:53:46 GMT 2023","58321","chromium","preStream_tests.spec.ts","UI Stream Tests With Two Users","","","All Prestream Elements Loaded",""
