"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 14 01:41:49 GMT 2024","Wed Feb 14 01:42:59 GMT 2024","69710","chromium","preStream_tests.spec.ts","UI Stream Tests With Two Users","","","All Prestream Elements Loaded",""
"passed","Wed Feb 14 01:44:54 GMT 2024","Wed Feb 14 01:45:36 GMT 2024","42184","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Start Stream",""
"passed","Wed Feb 14 01:44:37 GMT 2024","Wed Feb 14 01:45:16 GMT 2024","38500","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - My Info",""
"failed","Wed Feb 14 01:48:55 GMT 2024","Wed Feb 14 01:49:39 GMT 2024","44007","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Stream Titile",""
"passed","Wed Feb 14 01:47:27 GMT 2024","Wed Feb 14 01:49:02 GMT 2024","94974","chromium","ui_tests.spec.ts","UI Tests","","","Star sand Join Stream",""
"passed","Wed Feb 14 01:46:00 GMT 2024","Wed Feb 14 01:46:53 GMT 2024","52541","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Send Gift From Profile",""
"passed","Wed Feb 14 01:41:50 GMT 2024","Wed Feb 14 01:42:59 GMT 2024","68926","chromium","preStream_tests.spec.ts","UI Stream Tests With Two Users","","","Pre Stream - Close Pre Stream",""
"passed","Wed Feb 14 01:44:06 GMT 2024","Wed Feb 14 01:44:54 GMT 2024","48413","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Gift In Chat",""
"passed","Wed Feb 14 01:45:36 GMT 2024","Wed Feb 14 01:46:20 GMT 2024","43497","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Search by name",""
"failed","Wed Feb 14 01:50:18 GMT 2024","Wed Feb 14 01:51:00 GMT 2024","41724","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Forbidden Words in Chat",""
"passed","Wed Feb 14 01:41:50 GMT 2024","Wed Feb 14 01:42:57 GMT 2024","67295","chromium","preStream_tests.spec.ts","UI Stream Tests With Two Users","","","Pre Stream - Disable Camera",""
"passed","Wed Feb 14 01:41:50 GMT 2024","Wed Feb 14 01:44:37 GMT 2024","167192","chromium","strem_test.spec.ts","UI Stream Tests With Two Users","","","Send Gift in Stream",""
"passed","Wed Feb 14 01:45:16 GMT 2024","Wed Feb 14 01:46:00 GMT 2024","44471","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Redeem Cash",""
"passed","Wed Feb 14 01:45:38 GMT 2024","Wed Feb 14 01:46:20 GMT 2024","42269","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Unblock Chat",""
"passed","Wed Feb 14 01:44:02 GMT 2024","Wed Feb 14 01:44:57 GMT 2024","54680","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Emoji",""
"passed","Wed Feb 14 01:41:50 GMT 2024","Wed Feb 14 01:42:45 GMT 2024","55236","chromium","referralProgram_test.spec.ts","UI Referral Program Flow","","","Check Referral Program Page",""
"passed","Wed Feb 14 01:44:57 GMT 2024","Wed Feb 14 01:45:38 GMT 2024","40626","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile",""
"passed","Wed Feb 14 01:46:20 GMT 2024","Wed Feb 14 01:47:27 GMT 2024","67140","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Forbidden Name",""
"passed","Wed Feb 14 01:43:54 GMT 2024","Wed Feb 14 01:44:48 GMT 2024","54257","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Media File",""
"passed","Wed Feb 14 01:41:49 GMT 2024","Wed Feb 14 01:43:54 GMT 2024","124110","chromium","referralProgram_test.spec.ts","UI Referral Program Flow","","","Add My Agent and My Referrals Check",""
"passed","Wed Feb 14 01:46:45 GMT 2024","Wed Feb 14 01:47:42 GMT 2024","56937","chromium","ui_chats_test.spec.ts","UI - Chat Tests","","","Chats - Default System Messge",""
"passed","Wed Feb 14 01:45:27 GMT 2024","Wed Feb 14 01:46:33 GMT 2024","65481","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile e2e",""
"passed","Wed Feb 14 01:42:59 GMT 2024","Wed Feb 14 01:44:02 GMT 2024","63434","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Unblock Chat By Followings",""
"passed","Wed Feb 14 01:47:02 GMT 2024","Wed Feb 14 01:47:56 GMT 2024","53999","chromium","ui_chats_test.spec.ts","UI - Chat Tests","","","Chats - Unblock Chat",""
"passed","Wed Feb 14 01:44:48 GMT 2024","Wed Feb 14 01:45:27 GMT 2024","39320","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Buy Coins",""
"passed","Wed Feb 14 01:46:53 GMT 2024","Wed Feb 14 01:47:57 GMT 2024","64722","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Stream Chat",""
"passed","Wed Feb 14 01:42:59 GMT 2024","Wed Feb 14 01:44:06 GMT 2024","66529","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Message Validation",""
