"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 14:18:34 GMT 2023","Mon Nov 27 14:18:55 GMT 2023","20683","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Unblock Chat By Followings",""
"failed","Mon Nov 27 14:21:23 GMT 2023","Mon Nov 27 14:22:47 GMT 2023","83718","chromium","strem_test.spec.ts","UI Stream Tests","","","Send Gift in Stream",""
"passed","Mon Nov 27 14:19:36 GMT 2023","Mon Nov 27 14:20:07 GMT 2023","31273","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Emoji",""
"passed","Mon Nov 27 14:16:17 GMT 2023","Mon Nov 27 14:16:56 GMT 2023","38809","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Search by name",""
"passed","Mon Nov 27 14:19:14 GMT 2023","Mon Nov 27 14:19:36 GMT 2023","22115","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Media File",""
"passed","Mon Nov 27 14:17:57 GMT 2023","Mon Nov 27 14:18:34 GMT 2023","36762","chromium","ui_chats_test.spec.ts","UI - Chat Tests","","","Chats - Unblock Chat",""
"passed","Mon Nov 27 14:17:39 GMT 2023","Mon Nov 27 14:18:28 GMT 2023","48871","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Send Gift From Profile",""
"passed","Mon Nov 27 14:22:21 GMT 2023","Mon Nov 27 14:22:47 GMT 2023","25139","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile e2e",""
"passed","Mon Nov 27 14:20:07 GMT 2023","Mon Nov 27 14:20:35 GMT 2023","27574","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Gift In Chat",""
"failed","Mon Nov 27 14:20:23 GMT 2023","Mon Nov 27 14:21:52 GMT 2023","89389","chromium","ui_tests.spec.ts","UI Tests","","","Star sand Join Stream",""
"passed","Mon Nov 27 14:18:55 GMT 2023","Mon Nov 27 14:19:14 GMT 2023","18727","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Message Validation",""
"passed","Mon Nov 27 14:16:56 GMT 2023","Mon Nov 27 14:17:39 GMT 2023","42784","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Unblock Chat",""
"passed","Mon Nov 27 14:16:57 GMT 2023","Mon Nov 27 14:17:45 GMT 2023","48385","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Buy Coins",""
"passed","Mon Nov 27 14:17:09 GMT 2023","Mon Nov 27 14:17:57 GMT 2023","48092","chromium","ui_chats_test.spec.ts","UI - Chat Tests","","","Chats - Default System Messge",""
"passed","Mon Nov 27 14:16:17 GMT 2023","Mon Nov 27 14:16:57 GMT 2023","39862","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - My Info",""
"passed","Mon Nov 27 14:21:20 GMT 2023","Mon Nov 27 14:21:48 GMT 2023","28063","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Start Stream",""
"passed","Mon Nov 27 14:22:05 GMT 2023","Mon Nov 27 14:22:21 GMT 2023","16225","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Redeem Cash",""
"passed","Mon Nov 27 14:21:48 GMT 2023","Mon Nov 27 14:22:05 GMT 2023","17059","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile",""
