"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 28 14:17:58 GMT 2024","Wed Feb 28 14:19:00 GMT 2024","61988","chromium","ui_tests.spec.ts","UI Tests","","","Star sand Join Stream",""
"passed","Wed Feb 28 14:14:14 GMT 2024","Wed Feb 28 14:15:14 GMT 2024","60267","chromium","preStream_tests.spec.ts","UI Stream Tests With Two Users","","","Pre Stream - Disable Camera",""
"passed","Wed Feb 28 14:14:14 GMT 2024","Wed Feb 28 14:15:15 GMT 2024","61547","chromium","preStream_tests.spec.ts","UI Stream Tests With Two Users","","","All Prestream Elements Loaded",""
"passed","Wed Feb 28 14:15:11 GMT 2024","Wed Feb 28 14:16:03 GMT 2024","52210","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Unblock Chat By Followings",""
"passed","Wed Feb 28 14:17:21 GMT 2024","Wed Feb 28 14:17:45 GMT 2024","23480","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Send Gift From Profile",""
"skipped","Wed Feb 28 14:17:34 GMT 2024","Wed Feb 28 14:17:34 GMT 2024","0","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Forbidden Words in Chat",""
"passed","Wed Feb 28 14:17:34 GMT 2024","Wed Feb 28 14:18:02 GMT 2024","27336","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Stream Titile",""
"passed","Wed Feb 28 14:16:47 GMT 2024","Wed Feb 28 14:17:11 GMT 2024","23918","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Redeem Cash",""
"passed","Wed Feb 28 14:19:26 GMT 2024","Wed Feb 28 14:19:37 GMT 2024","11063","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Buy Coins",""
"passed","Wed Feb 28 14:18:36 GMT 2024","Wed Feb 28 14:18:59 GMT 2024","22794","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Emoji",""
"passed","Wed Feb 28 14:17:30 GMT 2024","Wed Feb 28 14:17:58 GMT 2024","27388","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Forbidden Name",""
"passed","Wed Feb 28 14:16:49 GMT 2024","Wed Feb 28 14:17:21 GMT 2024","31820","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile e2e",""
"skipped","Wed Feb 28 14:14:11 GMT 2024","Wed Feb 28 14:14:11 GMT 2024","1","chromium","referralProgram_test.spec.ts","UI Referral Program Flow","","","Add My Agent and My Referrals Check",""
"passed","Wed Feb 28 14:15:14 GMT 2024","Wed Feb 28 14:16:14 GMT 2024","60340","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Message Validation",""
"passed","Wed Feb 28 14:16:20 GMT 2024","Wed Feb 28 14:16:49 GMT 2024","29467","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Start Stream",""
"passed","Wed Feb 28 14:18:20 GMT 2024","Wed Feb 28 14:18:46 GMT 2024","25217","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Media File",""
"passed","Wed Feb 28 14:14:14 GMT 2024","Wed Feb 28 14:15:09 GMT 2024","54776","chromium","referralProgram_test.spec.ts","UI Referral Program Flow","","","Check Referral Program Page",""
"passed","Wed Feb 28 14:17:45 GMT 2024","Wed Feb 28 14:18:10 GMT 2024","24745","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Stream Chat",""
"passed","Wed Feb 28 14:14:14 GMT 2024","Wed Feb 28 14:15:15 GMT 2024","61109","chromium","preStream_tests.spec.ts","UI Stream Tests With Two Users","","","Pre Stream - Close Pre Stream",""
"passed","Wed Feb 28 14:15:09 GMT 2024","Wed Feb 28 14:16:02 GMT 2024","53063","chromium","ui_chats_test.spec.ts","UI - Chat Tests","","","Chats - Unblock Chat",""
"passed","Wed Feb 28 14:14:13 GMT 2024","Wed Feb 28 14:15:11 GMT 2024","57640","chromium","ui_chats_test.spec.ts","UI - Chat Tests","","","Chats - Default System Messge",""
"passed","Wed Feb 28 14:14:14 GMT 2024","Wed Feb 28 14:16:20 GMT 2024","126086","chromium","strem_test.spec.ts","UI Stream Tests With Two Users","","","Send Gift in Stream",""
"passed","Wed Feb 28 14:16:38 GMT 2024","Wed Feb 28 14:17:01 GMT 2024","23003","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile",""
"passed","Wed Feb 28 14:16:02 GMT 2024","Wed Feb 28 14:16:47 GMT 2024","44785","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Gift In Chat",""
"passed","Wed Feb 28 14:17:01 GMT 2024","Wed Feb 28 14:17:30 GMT 2024","29046","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Search by name",""
"passed","Wed Feb 28 14:16:03 GMT 2024","Wed Feb 28 14:16:38 GMT 2024","34902","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - My Info",""
"passed","Wed Feb 28 14:17:11 GMT 2024","Wed Feb 28 14:17:34 GMT 2024","23867","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Unblock Chat",""
