"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 11:51:01 GMT 2024","Fri Feb 23 11:51:47 GMT 2024","46277","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile",""
"passed","Fri Feb 23 11:49:11 GMT 2024","Fri Feb 23 11:50:02 GMT 2024","51030","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Unblock Chat By Followings",""
"passed","Fri Feb 23 11:52:24 GMT 2024","Fri Feb 23 11:53:07 GMT 2024","42939","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Forbidden Name",""
"passed","Fri Feb 23 11:51:47 GMT 2024","Fri Feb 23 11:52:26 GMT 2024","38489","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Unblock Chat",""
"passed","Fri Feb 23 11:51:01 GMT 2024","Fri Feb 23 11:51:50 GMT 2024","49313","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Start Stream",""
"passed","Fri Feb 23 11:51:50 GMT 2024","Fri Feb 23 11:52:33 GMT 2024","42234","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Send Gift From Profile",""
"passed","Fri Feb 23 11:51:44 GMT 2024","Fri Feb 23 11:52:24 GMT 2024","40165","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Redeem Cash",""
"passed","Fri Feb 23 11:52:33 GMT 2024","Fri Feb 23 11:53:48 GMT 2024","75142","chromium","ui_tests.spec.ts","UI Tests","","","Star sand Join Stream",""
"passed","Fri Feb 23 11:48:21 GMT 2024","Fri Feb 23 11:49:11 GMT 2024","50006","chromium","preStream_tests.spec.ts","UI Stream Tests With Two Users","","","Pre Stream - Close Pre Stream",""
"passed","Fri Feb 23 11:48:20 GMT 2024","Fri Feb 23 11:49:11 GMT 2024","51157","chromium","preStream_tests.spec.ts","UI Stream Tests With Two Users","","","Pre Stream - Disable Camera",""
"skipped","Fri Feb 23 11:52:25 GMT 2024","Fri Feb 23 11:52:25 GMT 2024","0","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Forbidden Words in Chat",""
"passed","Fri Feb 23 11:49:02 GMT 2024","Fri Feb 23 11:50:57 GMT 2024","114783","chromium","strem_test.spec.ts","UI Stream Tests With Two Users","","","Send Gift in Stream",""
"skipped","Fri Feb 23 11:49:02 GMT 2024","Fri Feb 23 11:49:02 GMT 2024","1","chromium","referralProgram_test.spec.ts","UI Referral Program Flow","","","Add My Agent and My Referrals Check",""
"passed","Fri Feb 23 11:50:57 GMT 2024","Fri Feb 23 11:51:46 GMT 2024","48521","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - My Info",""
"passed","Fri Feb 23 11:49:59 GMT 2024","Fri Feb 23 11:51:01 GMT 2024","62454","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Message Validation",""
"passed","Fri Feb 23 11:51:46 GMT 2024","Fri Feb 23 11:52:25 GMT 2024","39836","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Search by name",""
"passed","Fri Feb 23 11:48:20 GMT 2024","Fri Feb 23 11:49:02 GMT 2024","41840","chromium","referralProgram_test.spec.ts","UI Referral Program Flow","","","Check Referral Program Page",""
"passed","Fri Feb 23 11:49:11 GMT 2024","Fri Feb 23 11:49:59 GMT 2024","47870","chromium","ui_chats_test.spec.ts","UI - Chat Tests","","","Chats - Unblock Chat",""
"passed","Fri Feb 23 11:48:20 GMT 2024","Fri Feb 23 11:49:11 GMT 2024","50986","chromium","preStream_tests.spec.ts","UI Stream Tests With Two Users","","","All Prestream Elements Loaded",""
"passed","Fri Feb 23 11:52:25 GMT 2024","Fri Feb 23 11:53:07 GMT 2024","42037","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Stream Titile",""
"passed","Fri Feb 23 11:50:44 GMT 2024","Fri Feb 23 11:51:44 GMT 2024","60727","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Emoji",""
"passed","Fri Feb 23 11:50:04 GMT 2024","Fri Feb 23 11:50:59 GMT 2024","55025","chromium","ui_chats_test.spec.ts","UI - Chat Tests","","","Chats - Default System Messge",""
"passed","Fri Feb 23 11:50:59 GMT 2024","Fri Feb 23 11:51:45 GMT 2024","46560","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Buy Coins",""
"passed","Fri Feb 23 11:50:02 GMT 2024","Fri Feb 23 11:51:01 GMT 2024","59213","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Media File",""
"failed","Fri Feb 23 11:49:54 GMT 2024","Fri Feb 23 11:50:36 GMT 2024","41918","chromium","redeemCash_test.spec.ts","UI - Redeem Cash Flow","","","Add/Change/Redeem - Binance",""
"failed","Fri Feb 23 11:49:51 GMT 2024","Fri Feb 23 11:50:35 GMT 2024","43964","chromium","redeemCash_test.spec.ts","UI - Redeem Cash Flow","","","Add/Change/Redeem - Payoneer",""
"passed","Fri Feb 23 11:53:56 GMT 2024","Fri Feb 23 11:54:13 GMT 2024","17268","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Gift In Chat",""
"passed","Fri Feb 23 11:51:45 GMT 2024","Fri Feb 23 11:52:46 GMT 2024","60851","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile e2e",""
"passed","Fri Feb 23 11:55:31 GMT 2024","Fri Feb 23 11:55:49 GMT 2024","18463","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Stream Chat",""
