"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 01:51:38 GMT 2023","Mon Nov 27 01:52:21 GMT 2023","43801","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Search by name",""
"passed","Mon Nov 27 01:57:37 GMT 2023","Mon Nov 27 01:58:17 GMT 2023","40379","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Media File",""
"passed","Mon Nov 27 01:52:21 GMT 2023","Mon Nov 27 01:53:02 GMT 2023","40815","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Unblock Chat",""
"passed","Mon Nov 27 01:51:38 GMT 2023","Mon Nov 27 01:52:19 GMT 2023","41358","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - My Info",""
"passed","Mon Nov 27 02:00:05 GMT 2023","Mon Nov 27 02:00:19 GMT 2023","14300","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Start Stream",""
"passed","Mon Nov 27 01:51:37 GMT 2023","Mon Nov 27 01:52:21 GMT 2023","43493","chromium","ui_chats_test.spec.ts","UI - Chat Tests","","","Chats - Default System Messge",""
"failed","Mon Nov 27 01:59:35 GMT 2023","Mon Nov 27 02:00:13 GMT 2023","37585","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Emoji",""
"failed","Mon Nov 27 01:56:09 GMT 2023","Mon Nov 27 01:58:22 GMT 2023","132671","chromium","strem_test.spec.ts","UI Stream Tests","","","Send Gift in Stream",""
"failed","Mon Nov 27 01:56:09 GMT 2023","Mon Nov 27 01:58:09 GMT 2023","120022","chromium","ui_tests.spec.ts","UI Tests","","","Star sand Join Stream",""
"passed","Mon Nov 27 02:00:45 GMT 2023","Mon Nov 27 02:01:03 GMT 2023","17899","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile e2e",""
"passed","Mon Nov 27 01:53:11 GMT 2023","Mon Nov 27 01:54:12 GMT 2023","60158","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Unblock Chat By Followings",""
"passed","Mon Nov 27 02:00:14 GMT 2023","Mon Nov 27 02:00:32 GMT 2023","17865","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Gift In Chat",""
"passed","Mon Nov 27 02:00:34 GMT 2023","Mon Nov 27 02:00:45 GMT 2023","11221","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Redeem Cash",""
"failed","Mon Nov 27 01:56:25 GMT 2023","Mon Nov 27 01:57:29 GMT 2023","64286","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Message Validation",""
"passed","Mon Nov 27 01:52:21 GMT 2023","Mon Nov 27 01:53:11 GMT 2023","50503","chromium","ui_chats_test.spec.ts","UI - Chat Tests","","","Chats - Unblock Chat",""
"passed","Mon Nov 27 02:00:19 GMT 2023","Mon Nov 27 02:00:34 GMT 2023","14719","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile",""
"passed","Mon Nov 27 01:56:16 GMT 2023","Mon Nov 27 01:56:51 GMT 2023","35552","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Buy Coins",""
"passed","Mon Nov 27 01:53:02 GMT 2023","Mon Nov 27 01:54:06 GMT 2023","63833","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Send Gift From Profile",""
