"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 10 14:19:44 GMT 2023","Fri Nov 10 14:20:12 GMT 2023","28279","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile e2e",""
"passed","Fri Nov 10 14:15:07 GMT 2023","Fri Nov 10 14:15:40 GMT 2023","32938","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - My Info",""
"passed","Fri Nov 10 14:18:54 GMT 2023","Fri Nov 10 14:19:10 GMT 2023","16300","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Start Stream",""
"broken","Fri Nov 10 14:17:36 GMT 2023","Fri Nov 10 14:18:52 GMT 2023","76901","chromium","ui_tests.spec.ts","UI Tests","","","Star sand Join Stream",""
"passed","Fri Nov 10 14:19:10 GMT 2023","Fri Nov 10 14:19:28 GMT 2023","17483","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile",""
"passed","Fri Nov 10 14:16:52 GMT 2023","Fri Nov 10 14:17:34 GMT 2023","41561","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Buy Coins",""
"passed","Fri Nov 10 14:19:28 GMT 2023","Fri Nov 10 14:19:44 GMT 2023","15737","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Redeem Cash",""
