"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 14:19:52 GMT 2024","Thu Feb 22 14:20:31 GMT 2024","38839","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Unblock Chat",""
"passed","Thu Feb 22 14:16:51 GMT 2024","Thu Feb 22 14:17:46 GMT 2024","55143","chromium","preStream_tests.spec.ts","UI Stream Tests With Two Users","","","Pre Stream - Disable Camera",""
"passed","Thu Feb 22 14:19:51 GMT 2024","Thu Feb 22 14:20:31 GMT 2024","39370","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Search by name",""
"skipped","Thu Feb 22 14:16:48 GMT 2024","Thu Feb 22 14:16:48 GMT 2024","1","chromium","referralProgram_test.spec.ts","UI Referral Program Flow","","","Add My Agent and My Referrals Check",""
"passed","Thu Feb 22 14:20:31 GMT 2024","Thu Feb 22 14:21:20 GMT 2024","48979","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Stream Titile",""
"passed","Thu Feb 22 14:17:53 GMT 2024","Thu Feb 22 14:18:43 GMT 2024","50698","chromium","ui_chats_test.spec.ts","UI - Chat Tests","","","Chats - Default System Messge",""
"passed","Thu Feb 22 14:23:36 GMT 2024","Thu Feb 22 14:23:53 GMT 2024","17270","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Stream Chat",""
"passed","Thu Feb 22 14:19:16 GMT 2024","Thu Feb 22 14:19:52 GMT 2024","36673","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile",""
"passed","Thu Feb 22 14:19:54 GMT 2024","Thu Feb 22 14:20:35 GMT 2024","40881","chromium","ui_search_test.spec.ts","UI - Search Tests","","","Chats - Send Gift From Profile",""
"passed","Thu Feb 22 14:17:34 GMT 2024","Thu Feb 22 14:18:27 GMT 2024","52627","chromium","ui_chats_test.spec.ts","UI - Chat Tests","","","Chats - Unblock Chat",""
"passed","Thu Feb 22 14:18:42 GMT 2024","Thu Feb 22 14:19:16 GMT 2024","33283","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - My Info",""
"passed","Thu Feb 22 14:19:15 GMT 2024","Thu Feb 22 14:19:51 GMT 2024","36207","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Start Stream",""
"passed","Thu Feb 22 14:20:12 GMT 2024","Thu Feb 22 14:21:52 GMT 2024","100478","chromium","strem_test.spec.ts","UI Stream Tests With Two Users","","","Send Gift in Stream",""
"passed","Thu Feb 22 14:17:46 GMT 2024","Thu Feb 22 14:18:42 GMT 2024","56239","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Message Validation",""
"passed","Thu Feb 22 14:16:52 GMT 2024","Thu Feb 22 14:17:44 GMT 2024","52316","chromium","preStream_tests.spec.ts","UI Stream Tests With Two Users","","","Pre Stream - Close Pre Stream",""
"passed","Thu Feb 22 14:19:19 GMT 2024","Thu Feb 22 14:20:17 GMT 2024","57636","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Edit Profile e2e",""
"skipped","Thu Feb 22 14:20:31 GMT 2024","Thu Feb 22 14:20:31 GMT 2024","0","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Forbidden Words in Chat",""
"passed","Thu Feb 22 14:19:18 GMT 2024","Thu Feb 22 14:19:54 GMT 2024","36034","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Redeem Cash",""
"passed","Thu Feb 22 14:20:35 GMT 2024","Thu Feb 22 14:22:22 GMT 2024","107472","chromium","ui_tests.spec.ts","UI Tests","","","Star sand Join Stream",""
"passed","Thu Feb 22 14:20:17 GMT 2024","Thu Feb 22 14:21:11 GMT 2024","54310","chromium","ui_stoplist_test.spec.ts","UI - Profile Tests","","","Stoplist - Forbidden Name",""
"passed","Thu Feb 22 14:18:27 GMT 2024","Thu Feb 22 14:19:15 GMT 2024","48463","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Emoji",""
"passed","Thu Feb 22 14:16:52 GMT 2024","Thu Feb 22 14:17:48 GMT 2024","56367","chromium","preStream_tests.spec.ts","UI Stream Tests With Two Users","","","All Prestream Elements Loaded",""
"passed","Thu Feb 22 14:16:51 GMT 2024","Thu Feb 22 14:17:34 GMT 2024","42902","chromium","referralProgram_test.spec.ts","UI Referral Program Flow","","","Check Referral Program Page",""
"passed","Thu Feb 22 14:17:44 GMT 2024","Thu Feb 22 14:18:38 GMT 2024","54043","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Unblock Chat By Followings",""
"passed","Thu Feb 22 14:18:43 GMT 2024","Thu Feb 22 14:19:19 GMT 2024","35741","chromium","ui_profile_test.spec.ts","UI - Profile Tests","","","Profile - Buy Coins",""
"passed","Thu Feb 22 14:18:38 GMT 2024","Thu Feb 22 14:19:18 GMT 2024","39711","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Gift In Chat",""
"passed","Thu Feb 22 14:21:36 GMT 2024","Thu Feb 22 14:22:11 GMT 2024","35269","chromium","ui_chats_test.spec.ts","UI - Chat Page With Two Users","","","Chats - Send Media File",""
